DATETIME;t(s);0;1;2;3;4;5;6;7;8;9;$P_e$(2.2m);$P_e$(2.6m);$P_e$(3.0m);$P_e$(3.4m);$P_e$(3.8m)
2015-06-24 20:08:00;28790;96522.35687451455;108335.5712822435;95694.78335750781;110855.42444507265;93335.32855435673;110556.09958705786;94087.76442657047;108700.07069040822;94110.44721324396;111455.4662976346;101217.76584;100738.58002;102217.50604;100762.71168;101665.92524
2015-06-24 20:10:00;28900;97333.74466062836;108713.07051925511;94944.66027798738;107827.23150805161;97882.99367430776;108956.02317083027;92097.02983004422;109144.25242818701;97383.09738182442;108787.79304206408;101110.89705999999;100466.237;102196.82175999999;100445.55271999999;101638.34619999999
2015-06-24 20:12:00;29020;97263.88106656633;108160.39011632073;91376.24261456833;111670.34693498771;98401.4748863489;107672.24909170401;94185.50493754614;109717.7213285826;96830.65800572686;109524.53879033285;101266.02915999999;100286.97323999999;102176.13747999999;100542.07935999999;101507.34576
2015-06-24 20:14:00;29140;96919.41250643242;110745.22393987683;95131.16850468963;108926.41985234077;96105.76758884049;111345.0302076351;94015.74184674607;108224.56330687273;95789.92972632735;107668.55355129787;101097.10754;100497.26341999999;102017.55799999999;100349.02608;101541.81955999999
2015-06-24 20:16:00;29290;96832.82490002239;109427.61357017103;93409.66563189837;108127.14482885905;98810.2358934534;110012.04856272867;94348.75914319861;107870.65451554798;99354.44448737182;111002.6174627536;101214.31846;100324.89442;102045.13703999999;100273.18371999999;101410.81911999999
2015-06-24 20:18:00;29410;96111.42539977461;105740.47901765548;94780.38391418957;109490.96553966323;98787.13636330058;111525.97083371482;97137.25546641776;107352.58337800515;97758.67857532122;108207.6558946386;101210.87108;100449.00009999999;101755.55712;100162.86755999998;101183.29204
2015-06-24 20:20:00;29520;96940.62628597324;107372.39236840294;95148.57961997678;108624.71018583995;96634.55862805578;109505.39792313187;94744.77888320944;108300.99345794848;94676.65437614621;109412.78251237576;101152.26561999999;100145.63066;101679.71475999999;100011.18284;101176.39727999999
2015-06-24 20:22:00;29640;95852.65799844194;105921.80417128566;92096.55403836658;108380.55498240425;96455.35769186668;110329.99110588134;96151.21732554636;108278.2829091558;96652.78269071593;107959.77951945282;100914.3964;100155.97279999999;101693.50428;100052.5514;100976.44923999999
2015-06-24 20:24:00;29750;95935.2046378539;108640.57318735382;90779.08188162223;110886.47511760282;95635.6640927627;108594.03243402959;93180.4081202249;110853.17455544118;96119.74222319783;109313.3042621207;101017.81779999999;100135.28851999999;101452.18767999999;99900.86667999999;101141.92348
2015-06-24 20:26:00;29870;93297.93252190552;108506.14441173313;91256.99207178893;109593.37879151493;96526.4674402874;109678.10726378312;95380.93373974894;108345.73013552722;97056.52169193336;109421.0612053723;101024.71255999999;100535.1846;101555.60908;100107.70947999999;100948.87019999999
2015-06-24 20:28:00;29990;96750.3775005513;108177.68653807446;92559.15225663438;106164.75197477441;94387.49585806922;107918.65066711811;89313.6961646419;108429.56987868815;90644.4656525116;108056.43654920693;101062.63373999999;99969.81427999999;101486.66148;99983.6038;100728.23787999999
2015-06-24 20:30:00;30100;94941.26666470771;107788.43285579798;93617.52187529979;109406.2092207204;93990.89693185207;112082.18957471887;95948.48099466662;106916.67165270189;96630.11766429894;109328.22618751356;100821.31713999998;99811.23479999999;101445.29291999999;99956.02475999999;100831.65927999999
